country,code,co2_pc,PBI_pc,energy_pc,urban_pop,countryname,year,wgi_cc,wgi_ge
Azerbaijan,AZE,3.8875713436608024,5599.5852510053855,1714.0372598283175,57.17,Azerbaijan,2022,-1.0409073829650879,-4.1207097470760345E-2
Bangladesh,BGD,0.7325204442518862,1804.3493461776036,297.1183563427057,39.711,Bangladesh,2022,-1.075751781463623,-0.7633553147315979
Belgium,BEL,7.683021110065658,44596.78599811655,4368.445625674273,98.153,Belgium,2022,1.4949735403060913,1.2271864414215088
Bosnia and Herzegovina,BIH,7.087083695030146,6327.0629391043685,2270.72637629896,49.841,Bosnia and Herzegovina,2022,-0.68431562185287476,-1.0649607181549072
Burkina Faso,BFA,0.27295258020356095,739.3630211914509,312.92908580422716,31.877,Burkina Faso,2022,-0.11163946986198425,-0.8531486988067627
Cambodia,KHM,1.008881435372408,2011.2743331319882,501.6441361520874,25.114,Cambodia,2022,-1.2416115999221802,-0.35141390562057495
Albania,ALB,1.659293031005271,5178.8843148149945,780.7386239455569,63.799,Albania,2022,-0.40818944573402405,6.454053521156311E-2
Argentina,ARG,4.260967429811338,13182.793395072518,1808.7602133555297,92.347,Argentina,2022,-0.44722160696983337,-0.28348970413208008
Australia,AUS,14.41042324291251,61009.80771474032,4942.984806982433,86.488,Australia,2022,1.7643671035766602,1.5284327268600464
Botswana,BWA,2.984845230854481,7159.586061826801,1165.1496869612097,72.224,Botswana,2022,0.66190850734710693,0.43949386477470398
Brunei Darussalam,BRN,20.749061202977796,28549.17552754703,9537.0515607056,78.854,Brunei Darussalam,2022,1.1751925945281982,1.4222829341888428
Cameroon,CMR,0.39179928788176904,1458.661804316926,384.1048631536881,58.733,Cameroon,2022,-1.1297142505645752,-0.88150781393051147
Chile,CHL,4.543795654035517,14283.148950152385,2124.698482313698,87.912,Chile,2022,0.96812403202056885,0.54621827602386475
Algeria,DZA,4.104114244553486,4544.466880603715,1499.5099995851717,74.772,Algeria,2022,-0.63804107904434204,-0.51349949836730957
Angola,AGO,0.7675874207931752,2382.022639525854,423.12251760056375,68.081,Angola,2022,-0.61237573623657227,-1.0260342359542847
Armenia,ARM,2.4549710359692845,4791.004817121827,1347.5905574741312,63.573,Armenia,2022,2.7907174080610275E-2,-0.31479236483573914
Austria,AUT,6.771146748602692,47250.969599952274,3486.7294329376255,59.256,Austria,2022,1.2585867643356323,1.4649227857589722
Bahrain,BHR,23.800922546374906,25234.402561820025,10701.792757509216,89.743,Bahrain,2022,0.1395203173160553,0.63972002267837524
Belarus,BLR,6.158015039112724,6206.619097354387,2862.4870345370555,80.326,Belarus,2022,-0.57973146438598633,-0.85172337293624878
Benin,BEN,0.48104942177772286,1218.496689290907,375.82098364933654,49.534,Benin,2022,-8.9857287704944611E-2,-0.17059023678302765
Bolivia,BOL,1.8826786509470692,3172.9104669503577,798.2932200523145,70.83,Bolivia,2022,-0.88970035314559937,-0.56473821401596069
Brazil,BRA,2.2772215483774,9032.084815662993,1432.727411329193,87.555,Brazil,2022,-0.56635433435440063,-0.58825933933258057
Bulgaria,BGR,7.744369496698967,9601.432712695334,2968.6566342655187,76.363,Bulgaria,2022,-0.1582060307264328,-0.2712329626083374
Canada,CAN,14.776101171735085,45677.686578804045,7578.020936012374,81.752,Canada,2022,1.6585730314254761,1.5666177272796631
Chad,TCD,0.13584161875093334,934.9677327952605,198.544774520873,24.063,Chad,2022,-1.4885380268096924,-1.4236735105514526
China,CHN,8.87059061376954,11830.598370349626,2676.4820097611064,63.56,China,2022,1.6063671559095383E-2,0.49421253800392151
Colombia,COL,1.7735629386432517,6856.725905053739,851.2327765680329,82.05,Colombia,2022,-0.36208811402320862,1.3796379789710045E-2
"Congo, Rep.",COG,1.2791163168024942,1686.0023439138517,627.5859661987449,68.736,"Congo, Rep.",2022,-1.3597794771194458,-1.3700981140136719
Croatia,HRV,4.523891098782278,16616.391535634768,2154.954832667471,58.219,Croatia,2022,0.14780740439891815,0.5813136100769043
Cyprus,CYP,5.396921967597287,31967.541015625,1682.7049254504457,66.911,Cyprus,2022,0.42144522070884705,0.73033523559570313
Ecuador,ECU,2.3709854247923445,6107.494950065426,904.7399236245194,64.57,Ecuador,2022,-0.63026487827301025,-0.30927833914756775
Eswatini,SWZ,1.1096735872910133,3680.4232680466625,958.916943750887,24.576,Eswatini,2022,-0.7263033390045166,-0.78140419721603394
Georgia,GEO,3.40306887376761,5736.304495785975,1543.5837998241132,60.297,Georgia,2022,0.62042003870010376,0.6501430869102478
Costa Rica,CRI,1.5919665706698363,13686.16140909056,1009.2152295008389,82.042,Costa Rica,2022,0.46585777401924133,5.2602667361497879E-2
Cuba,CUB,1.8849854699262736,7552.331522188415,815.6158627988323,77.401,Cuba,2022,-6.9265678524971008E-2,-0.3509061336517334
Czechia,CZE,9.317035287653303,20627.348651010972,3895.629289153953,74.377,Czech Republic,2022,0.6630745530128479,1.0934188365936279
Ethiopia,ETH,0.13190727798292623,843.6480053004453,377.9217527310922,22.661,Ethiopia,2022,-0.43325895071029663,-0.79182416200637817
Finland,FIN,6.507021284331149,46016.149210392905,5683.9510215791415,85.681,Finland,2022,2.2468650341033936,1.754582405090332
Gabon,GAB,2.219482323746568,6527.482079018615,2096.2456480630976,90.735,Gabon,2022,-1.0429766178131104,-0.68542414903640747
Germany,DEU,7.870139120886976,44180.429838685835,3237.716066252309,77.648,Germany,2022,1.8183634281158447,1.2892996072769165
Greece,GRC,5.263286487286146,20595.49526390158,1957.7987205050322,80.357,Greece,2022,3.7597861140966415E-2,0.44696766138076782
Denmark,DNK,4.767291819448192,60248.67122236504,2580.5431918078266,88.367,Denmark,2022,2.4026381969451904,1.9901350736618042
Cote d'Ivoire,CIV,0.48571472375622804,2227.0984524698415,471.77542480223894,52.661,Côte d'Ivoire,2022,-0.33870556950569153,-0.33377242088317871
Dominican Republic,DOM,2.6395603350591332,8698.135920943952,950.4701052920138,83.848,Dominican Republic,2022,-0.43980777263641357,-6.8461060523986816E-2
El Salvador,SLV,1.2607639834855522,4355.960838883592,768.6834294921467,74.767,El Salvador,2022,-0.64252525568008423,-0.32125905156135559
Estonia,EST,9.332611725630914,21080.653140900893,3559.0489316047788,69.609,Estonia,2022,1.5447127819061279,1.3426321744918823
France,FRA,4.561196379667293,38881.223061359524,3105.6300634750614,81.509,France,2022,1.2594361305236816,1.1652121543884277
Ghana,GHA,0.7477928847169303,2067.208959107662,359.17937905230576,58.615,Ghana,2022,-6.4371034502983093E-2,-0.10642126947641373
Guatemala,GTM,1.1193095963178141,4385.148776538132,887.8389253261998,52.666,Guatemala,2022,-1.2101486921310425,-0.90779858827590942
"Hong Kong SAR, China",HKG,4.441390669879255,43281.72145332257,1566.3961348760158,100,"Hong Kong SAR, China",2022,1.6107617616653442,1.5896625518798828
India,IND,1.9228118196239954,2098.2112447615036,727.9022000940238,35.872,India,2022,-0.32222327589988708,0.36954167485237122
Iraq,IRQ,4.322053972050406,4412.997331465116,1411.5886986739285,71.354,Iraq,2022,-1.2133530378341675,-1.3027603626251221
Israel,ISR,6.576416426889877,42516.388809027376,2501.420642648067,92.763,Israel,2022,0.78102892637252808,1.2361075878143311
Japan,JPN,8.07175855176299,36238.329489530246,3129.6586171749914,91.955,Japan,2022,1.5399296283721924,1.6194154024124146
Kenya,KEN,0.39426045576070734,1747.5319880442844,541.12804988998,29.002,Kenya,2022,-0.75950360298156738,-0.32953321933746338
"Korea, Rep.",KOR,11.375815280250531,33690.37887930456,5411.97477731382,81.427,"Korea, Rep.",2022,0.74836885929107666,1.3490473031997681
Honduras,HND,0.9870533584508678,2482.2238490471364,573.3444450829033,59.6,Honduras,2022,-1.0022883415222168,-0.86729633808135986
Iceland,ISL,8.508048366112309,57804.76106944825,15806.784836899606,93.992,Iceland,2022,1.5674996376037598,1.5629870891571045
"Iran, Islamic Rep.",IRN,8.495505228829293,5460.694570754327,3266.122486604545,76.807,"Iran, Islamic Rep.",2022,-1.1266164779663086,-0.88291162252426147
Kazakhstan,KAZ,11.990271434795659,11058.348241340698,3506.5455500538646,57.99,Kazakhstan,2022,-0.18568560481071472,0.14275604486465454
Jamaica,JAM,2.2432817778879834,5215.08605772144,968.879419803617,57.008,Jamaica,2022,-2.3321857675909996E-2,0.60386592149734497
Jordan,JOR,1.9842997627187637,3909.80228869045,754.3055031178651,91.827,Jordan,2022,7.3028996586799622E-2,0.19411076605319977
Italy,ITA,5.638792112342384,33891.886652621615,2411.651724173114,71.657,Italy,2022,0.52771425247192383,0.44864529371261597
Ireland,IRL,6.663090877978897,98776.15986582077,2600.1574064376855,64.183,Ireland,2022,1.6744147539138794,1.5485702753067017
Indonesia,IDN,2.355083578383915,4024.912252883909,953.6539285068602,57.934,Indonesia,2022,-0.43533557653427124,0.43614751100540161
Hungary,HUN,4.9558389659465405,16506.472104176824,2672.8676552920256,72.552,Hungary,2022,-0.10326169431209564,0.53386992216110229
Haiti,HTI,0.2948727555516071,1256.7214359244783,377.5260604186348,58.82,Haiti,2022,-1.4591875076293945,-2.2281613349914551
Lao PDR,LAO,3.247900154081085,2589.0501519162817,815.0865404428558,37.592,Lao PDR,2022,-0.96577924489974976,-0.59712958335876465
Kyrgyz Republic,KGZ,1.4782329446239688,1212.1781272176838,645.0142461718125,37.461,Kyrgyz Republic,2022,-1.2304028272628784,-0.89051103591918945
Kuwait,KWT,23.83568830952647,26579.832210635355,9129.597986290046,100,Kuwait,2022,0.12727570533752441,0.11148863285779953
Latvia,LVA,3.5425988209960395,16404.97706314652,2256.1190453886675,68.54,Latvia,2022,0.69380718469619751,0.69153767824172974
Lebanon,LBN,2.93693660132346,5909.036515550277,617.4829989934127,89.262,Lebanon,2022,-1.1273015737533569,-1.4592900276184082
Libya,LBY,7.897029335647903,7008.206483919634,2539.198138362234,81.302,Libya,2022,-1.5262982845306396,-1.7557716369628906
Lithuania,LTU,4.643988870050173,18884.515253169826,2453.939932602592,68.465,Lithuania,2022,0.74697411060333252,0.99396157264709473
Luxembourg,LUX,11.120757369052047,107469.75512840718,4862.947408333524,91.881,Luxembourg,2022,1.8835904598236084,1.7722278833389282
Malaysia,MYS,7.907148055224348,11174.210076184168,2867.096519391729,78.214,Malaysia,2022,0.24894076585769653,0.99266761541366577
Malta,MLT,3.3128543266687127,31979.609040059786,1456.2452481094795,94.875,Malta,2022,0.23876500129699707,0.80408447980880737
Mauritius,MUS,3.2071494935141778,10552.290559526558,1095.73879704883,40.81,Mauritius,2022,0.42037174105644226,0.76617258787155151
Moldova,MDA,3.73997391497611,3611.9548482995438,1422.6357530391385,43.173,Moldova,2022,-0.34223628044128418,-0.30759689211845398
Myanmar,MMR,0.6025750757760131,1174.7669794575465,399.5211852145386,31.771,Myanmar,2022,-1.1515258550643921,-1.6850244998931885
Nepal,NPL,0.5795607373891468,1113.5546234122342,519.9506041034834,21.451,Nepal,2022,-0.53276711702346802,-0.91809827089309692
Mozambique,MOZ,0.3070836739777132,596.058889461466,358.6376943617493,38.187,Mozambique,2022,-0.83575433492660522,-0.7370486855506897
Mongolia,MNG,7.540011672376656,4205.885545135513,1890.6311392926214,68.93,Mongolia,2022,-0.56118345260620117,-0.42492491006851196
Madagascar,MDG,0.13108603957498016,438.5162633537825,308.6725396014014,39.882,Madagascar,2022,-0.9699140191078186,-0.97203302383422852
Mexico,MEX,3.6228373191515137,10013.36685907402,1525.7351611441936,81.3,Mexico,2022,-1.012086033821106,-0.28172352910041809
Morocco,MAR,1.8831680322871207,3325.560546875,602.9944777509074,64.596,Morocco,2022,-0.38747754693031311,-8.1856206059455872E-2
Namibia,NAM,1.4724213420116263,3905.5513520100326,692.4613564410682,53.956,Namibia,2022,0.21513041853904724,6.9283246994018555E-2
Netherlands,NLD,7.512052156202407,51777.543158886394,3570.1203199439897,92.886,Netherlands,2022,1.9172000885009766,1.5788986682891846
Nicaragua,NIC,0.8029086029381395,2175.738991444051,608.2455467127473,59.556,Nicaragua,2022,-1.2876254320144653,-1.0368794202804565
North Macedonia,MKD,4.577138764172534,6250.627209520625,1476.1354256409359,59.118,North Macedonia,2022,-0.32399025559425354,-8.1384830176830292E-2
Oman,OMN,19.231723811927804,18792.446056530596,5867.320056288537,87.75,Oman,2022,5.2637934684753418E-2,2.150677889585495E-2
Panama,PAN,2.7263619368688183,15917.427539402983,1062.6992563181743,69.141,Panama,2022,-0.63486242294311523,-0.12810060381889343
Peru,PER,1.703078537762523,6667.516956320359,826.7056466878462,78.708,Peru,2022,-0.8080020546913147,-0.39837571978569031
Portugal,PRT,3.7854555519222504,22042.86820744318,1949.8649610393172,67.381,Portugal,2022,0.7289196252822876,1.0011335611343384
Saudi Arabia,SAU,18.81129405656974,26706.917926065962,7529.601030588629,84.729,Saudi Arabia,2022,0.35730737447738647,0.58225840330123901
Niger,NER,0.11476782153647207,566.7979629838662,162.0458659142873,16.894,Niger,2022,-0.58479207754135132,-0.62759822607040405
Pakistan,PAK,0.8973311509237683,1642.280669748258,470.7234965240247,37.731,Pakistan,2022,-0.80435037612915039,-0.62472867965698242
Philippines,PHL,1.3218055985197756,3577.7013657324396,550.7938039948655,47.977,Philippines,2022,-0.54121220111846924,6.3930444419384003E-2
Russian Federation,RUS,14.040395603808355,10119.0625,5601.084350851748,75.126,Russian Federation,2022,-0.97983968257904053,-0.69626379013061523
Senegal,SEN,0.700103557267781,1433.1991875240985,315.96593281512094,49.086,Senegal,2022,-1.3174303807318211E-2,3.9783384650945663E-2
New Zealand,NZL,6.761818217349671,42668.04202436214,3738.4650211825638,86.884,New Zealand,2022,2.1632339954376221,1.3402615785598755
Nigeria,NGA,0.5830431440436609,2398.986227870652,333.060729584941,53.521,Nigeria,2022,-1.1296823024749756,-1.041516900062561
Norway,NOR,8.16471744198,79620.16354550788,4651.486707586574,83.664,Norway,2022,2.0676383972167969,1.9417202472686768
Paraguay,PRY,1.2097838254889013,6218.197906940244,1044.9850676592907,62.818,Paraguay,2022,-1.090579628944397,-0.61401510238647461
Poland,POL,8.616969824002656,17303.644943229963,2798.007746233972,60.134,Poland,2022,0.50664544105529785,0.25888195633888245
Qatar,QAT,44.6800607977999,64315.62636436993,16683.663609725994,99.318,Qatar,2022,0.80402952432632446,1.1366174221038818
Rwanda,RWA,0.11883352391724288,948.413687606773,372.9914024293434,17.721,Rwanda,2022,0.56141763925552368,0.23207405209541321
Singapore,SGP,9.891251089671107,68218.80533356198,5785.043673416814,100,Singapore,2022,2.0946998596191406,2.1442356109619141
Slovenia,SVN,6.217531944873196,25276.935910578875,3045.944585555818,55.751,Slovenia,2022,0.76726853847503662,1.0685355663299561
South Africa,ZAF,6.563286880829441,5783.860904015363,1938.3064469327448,68.335,South Africa,2022,-0.3300946056842804,-0.10902764648199081
Sri Lanka,LKA,0.9007799468013165,4033.145614762977,473.9208256250935,19.026,Sri Lanka,2022,-0.38323253393173218,-0.39196175336837769
Suriname,SUR,4.07468980878228,7081.333573257831,1738.8234545480486,66.307,Suriname,2022,-0.40495333075523376,-0.94470715522766113
Switzerland,CHE,3.9208106378789864,90605.01942726795,2591.921410404806,74.092,Switzerland,2022,2.0093619823455811,2.0494349002838135
Tanzania,TZA,0.2933235335782005,1070.58532714844,405.1463148279462,36.682,Tanzania,2022,-0.35488227009773254,-0.46036583185195923
Togo,TGO,0.27834685664207265,862.7637126961276,425.4023211066051,43.921,Togo,2022,-0.63762819766998291,-0.64562338590621948
Slovak Republic,SVK,6.5455123871634795,18952.445286092156,3089.1457459110984,53.909,Slovak Republic,2022,0.21329586207866669,0.37813466787338257
Spain,ESP,4.92760844983757,28152.46614715857,2408.928114889388,81.304,Spain,2022,0.68541616201400757,0.92023038864135742
Sudan,SDN,0.4334052212662949,973.225280761719,411.7805381791809,35.956,Sudan,2022,-1.4137287139892578,-1.6863776445388794
Sweden,SWE,3.452732307733971,54878.29194991712,4323.665721393045,88.492,Sweden,2022,2.0615253448486328,1.5724048614501953
Tajikistan,TJK,0.901944585376355,1325.7554529084937,375.1970951484715,27.968,Tajikistan,2022,-1.4342764616012573,-0.75713086128234863
Syrian Arab Republic,SYR,1.1260219570030023,712.2722782000372,454.532086054546,56.769,Syrian Arab Republic,2022,-1.776185154914856,-1.7530136108398438
Thailand,THA,3.845649052505217,6278.785513827604,1867.4696831205304,52.889,Thailand,2022,-0.45244434475898743,0.12744416296482086
Turkiye,TUR,5.104096776375848,14055.10314604526,1841.55630679263,77.022,Türkiye,2022,-0.46810626983642578,-0.19964532554149628
United Arab Emirates,ARE,20.53597740223129,42687.72072090027,8335.809571626834,87.543,United Arab Emirates,2022,1.1556144952774048,1.2991279363632202
Uruguay,URY,2.5687477089503625,18228.355844376107,1626.0603493557132,95.688,Uruguay,2022,1.6105020046234131,0.84958767890930176
Zimbabwe,ZWE,0.6822429394732336,1368.4984180893362,416.586875381392,32.395,Zimbabwe,2022,-1.2599694728851318,-1.2512238025665283
Trinidad and Tobago,TTO,20.444646197663648,15721.830095148023,11038.406847223945,53.34,Trinidad and Tobago,2022,-0.37944084405899048,-2.5543393567204475E-2
Turkmenistan,TKM,9.214041727516816,7551.036501431573,5625.645236866664,53.494,Turkmenistan,2022,-1.4371324777603149,-1.1589975357055664
Uganda,UGA,0.15262280741041326,933.0940563704229,482.8216215366676,26.159,Uganda,2022,-1.0611969232559204,-0.60506868362426758
United Kingdom,GBR,4.8438065794923375,47682.76153490357,2254.3694158272147,84.398,United Kingdom,2022,1.6201214790344238,1.2380900382995605
Uzbekistan,UZB,3.9758315610755957,3576.7155271605357,1381.804487716765,50.466,Uzbekistan,2022,-0.75777024030685425,-0.32993730902671814
Viet Nam,VNM,3.259415781326878,3617.663114650119,1023.0571362686973,38.766,Viet Nam,2022,-0.28725433349609375,0.17463526129722595
Tunisia,TUN,2.5131661525295037,3983.49130488497,956.0411188872014,70.214,Tunisia,2022,-0.2997969388961792,-0.26275262236595154
Ukraine,UKR,3.3700306606049986,1874.66296386719,1479.4722495393942,69.919,Ukraine,2022,-0.63400447368621826,-0.49711927771568298
United States,USA,14.33048617260181,64198.43248802965,6511.688413945455,83.084,United States,2022,1.1041446924209595,1.255495548248291
Zambia,ZMB,0.3873876851107268,1298.8480495593024,800.6748735276514,45.761,Zambia,2022,-0.50494801998138428,-0.63801705837249756
